id,name,generation,height,weight,hp,attack,defense,special-attack,special-defense,speed,total,url_sprite,url_shadow_sprite
1,Bulbasaur,generation-i,7,69,45,49,49,65,65,45,318,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/1.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/1.png?raw=true
2,Ivysaur,generation-i,10,130,60,62,63,80,80,60,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/2.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/2.png?raw=true
3,Venusaur,generation-i,20,1000,80,82,83,100,100,80,525,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/3.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/3.png?raw=true
4,Charmander,generation-i,6,85,39,52,43,60,50,65,309,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/4.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/4.png?raw=true
5,Charmeleon,generation-i,11,190,58,64,58,80,65,80,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/5.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/5.png?raw=true
6,Charizard,generation-i,17,905,78,84,78,109,85,100,534,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/6.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/6.png?raw=true
7,Squirtle,generation-i,5,90,44,48,65,50,64,43,314,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/7.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/7.png?raw=true
8,Wartortle,generation-i,10,225,59,63,80,65,80,58,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/8.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/8.png?raw=true
9,Blastoise,generation-i,16,855,79,83,100,85,105,78,530,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/9.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/9.png?raw=true
10,Caterpie,generation-i,3,29,45,30,35,20,20,45,195,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/10.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/10.png?raw=true
11,Metapod,generation-i,7,99,50,20,55,25,25,30,205,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/11.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/11.png?raw=true
12,Butterfree,generation-i,11,320,60,45,50,90,80,70,395,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/12.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/12.png?raw=true
13,Weedle,generation-i,3,32,40,35,30,20,20,50,195,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/13.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/13.png?raw=true
14,Kakuna,generation-i,6,100,45,25,50,25,25,35,205,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/14.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/14.png?raw=true
15,Beedrill,generation-i,10,295,65,90,40,45,80,75,395,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/15.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/15.png?raw=true
16,Pidgey,generation-i,3,18,40,45,40,35,35,56,251,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/16.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/16.png?raw=true
17,Pidgeotto,generation-i,11,300,63,60,55,50,50,71,349,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/17.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/17.png?raw=true
18,Pidgeot,generation-i,15,395,83,80,75,70,70,101,479,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/18.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/18.png?raw=true
19,Rattata,generation-i,3,35,30,56,35,25,35,72,253,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/19.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/19.png?raw=true
20,Raticate,generation-i,7,185,55,81,60,50,70,97,413,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/20.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/20.png?raw=true
21,Spearow,generation-i,3,20,40,60,30,31,31,70,262,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/21.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/21.png?raw=true
22,Fearow,generation-i,12,380,65,90,65,61,61,100,442,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/22.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/22.png?raw=true
23,Ekans,generation-i,20,69,35,60,44,40,54,55,288,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/23.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/23.png?raw=true
24,Arbok,generation-i,35,650,60,95,69,65,79,80,448,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/24.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/24.png?raw=true
25,Pikachu,generation-i,4,60,35,55,40,50,50,90,320,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/25.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/25.png?raw=true
26,Raichu,generation-i,8,300,60,90,55,90,80,110,485,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/26.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/26.png?raw=true
27,Sandshrew,generation-i,6,120,50,75,85,20,30,40,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/27.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/27.png?raw=true
28,Sandslash,generation-i,10,295,75,100,110,45,55,65,450,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/28.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/28.png?raw=true
29,Nidoran-F,generation-i,4,70,55,47,52,40,40,41,275,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/29.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/29.png?raw=true
30,Nidorina,generation-i,8,200,70,62,67,55,55,56,365,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/30.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/30.png?raw=true
31,Nidoqueen,generation-i,13,600,90,92,87,75,85,76,505,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/31.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/31.png?raw=true
32,Nidoran-M,generation-i,5,90,46,57,40,40,40,50,273,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/32.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/32.png?raw=true
33,Nidorino,generation-i,9,195,61,72,57,55,55,65,365,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/33.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/33.png?raw=true
34,Nidoking,generation-i,14,620,81,102,77,85,75,85,505,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/34.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/34.png?raw=true
